movie_name,Country,Release Date,Production Company,IMDB Rating,Metascore,TomatoMeter,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,Total Box Office,ROI
Madea's Family Reunion,USA,24 Feb 2006,Lionsgate Films,5.2,45,26%,2006,8220100,10000000,63257940,62581,PG-13,Contemporary Fiction,Based on Play,Live Action,Comedy,1.0,,63320521,633.21%
Krrish,India,23 Jun 2006,Film Kraft,6.4,68,88%,2006,58540100,10000000,1430721,31000000,Not Rated,Science Fiction,Original Screenplay,Live Action,Action,1.0,,32430721,324.31%
End of the Spear,USA,20 Jan 2006,"Every Tribe Entertainment, Toy Gun Films, Bearing Fruit Entertainment",6.8,45,41%,2006,34620100,10000000,11748661,175380,PG-13,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,,11924041,119.24%
A Prairie Home Companion,USA,09 Jun 2006,Prairie Home Productions,6.7,75,81%,2006,24910100,10000000,20342852,6373339,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,105.0,26716191,267.16%
Saw III,"Canada, USA",27 Oct 2006,"Lionsgate Films, Twisted Pictures",6.2,48,28%,2006,5840100,10000000,80238724,83638091,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1.0,,163876815,1638.77%
Employee of the Month,USA,06 Oct 2006,Lionsgate Films,5.5,36,20%,2006,19540100,10000000,28444855,9920000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,108.0,38364855,383.65%
Edmond,USA,24 Nov 2006,"Werner Film LLC, Pretty Dangerous Films, Dog Pond Films, Neverland Films, Muse Productions, Code Entertainment",6.2,61,47%,2006,78520100,10000000,131719,110000,R,Contemporary Fiction,Based on Play,Live Action,Black Comedy,0.0,,241719,2.42%
Peaceful Warrior,"USA, Germany",23 Jun 2006,"Sobini Films, DEJ Productions",7.3,40,25%,2006,52640100,10000000,2893666,366513,PG-13,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0.0,,3260179,32.60%
Turistas,USA,01 Dec 2006,"Stone Village Productions, Boz Productions, 2929 Productions",5.4,36,18%,2006,42200100,10000000,7027762,7293308,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0.0,,14321070,143.21%
Kabhi Alvida Naa Kehna,India,11 Aug 2006,Dharma Productions,6.1,N/A,58%,2006,51280100,10750000,3275443,29300000,Not Rated,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,,32575443,303.03%
Copying Beethoven,"USA, Germany, Hungary",08 Mar 2007,Sidney Kimmel Entertainment,6.8,59,28%,2006,69990100,11000000,355968,6230356,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,,6586324,59.88%
For Your Consideration,USA,22 Nov 2006,Castle Rock Entertainment,6.3,68,52%,2006,45520100,12000000,5549923,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,,5549923,46.25%
Crank,USA,01 Sep 2006,"Lakeshore Entertainment, Radical Media, Lionsgate Films",6.9,57,61%,2006,19850100,12000000,27838408,16086515,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,88.0,43924923,366.04%
Fateless,"Hungary, Germany, UK, Israel, France, USA",10 Feb 2005,"Magic Média, Renegade, Euroarts",6.9,87,94%,2006,75540100,12000000,196857,0,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,140.0,196857,1.64%
Step Up,USA,11 Aug 2006,"Summit Entertainment, Eketahuna LLC",6.5,48,21%,2006,7780100,12000000,65328121,45661036,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0.0,103.0,110989157,924.91%
Find Me Guilty,"Germany, USA",17 Mar 2006,Bob Yari Productions,7.0,65,62%,2006,60110100,13000000,1173673,1724552,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,,2898225,22.29%
Infamous,USA,13 Oct 2006,Jack &amp; Henry Prods./Killer Films,7.0,68,74%,2006,60310100,13000000,1151330,1462387,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0.0,,2613717,20.11%
Letters from Iwo Jima,"USA, Japan",02 Feb 2007,"Amblin Entertainment, Malpaso Company, Warner Bros., DreamWorks SKG",7.9,89,91%,2006,31930100,13000000,13756082,54111916,R,Historical Fiction,Based on Real Life Events,Live Action,Drama,0.0,101.0,67867998,522.06%
Little Children,USA,09 Feb 2007,"New Line Cinema, Standard Film Company Inc., Bona Fide Productions",7.5,75,80%,2006,45670100,14000000,5463019,8658158,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,,14121177,100.87%
Catch a Fire,"France, UK, South Africa, USA",27 Oct 2006,"Mirage Enterprises, Working Title Films",6.7,62,75%,2006,48350100,14000000,4299773,1482425,PG-13,Dramatization,Based on Real Life Events,Live Action,Thriller/Suspense,0.0,,5782198,41.30%
Bobby,USA,23 Nov 2006,Bold Films,7.0,54,47%,2006,35340100,14000000,11242801,9355005,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,116.0,20597806,147.13%
An American Haunting,"UK, Canada, Romania, USA",05 May 2006,"Christopher Milburn Production, Midsummer Films",5.1,38,14%,2006,130560100,14000000,16298046,14145231,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Horror,0.0,83.0,30443277,217.45%
Manderlay,"Denmark, Sweden, Netherlands, France, Germany, UK, Italy, USA",03 Jun 2005,Zentropa Entertainments,7.3,46,50%,2006,83060100,14200000,74205,469101,Not Rated,Historical Fiction,Original Screenplay,Live Action,Drama,1.0,,543306,3.83%
Idlewild,USA,25 Aug 2006,"HBO Films, Forensic Films, Mosaic Media Group",6.3,55,47%,2006,33420100,15000000,12669914,0,R,Historical Fiction,Original Screenplay,Live Action,Musical,0.0,,12669914,84.47%
The Marine,USA,13 Oct 2006,WWE Films,4.7,45,20%,2006,26360100,15000000,18844784,3320824,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,,22165608,147.77%
The Queen,"UK, USA, France, Italy",17 Nov 2006,"Pathé Pictures, Scott Rudin Productions",7.3,91,96%,2006,9460100,15000000,56441711,72444162,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,,128885873,859.24%
Flicka,"USA, UK",20 Oct 2006,"20th Century Fox, Fox 2000 Pictures",6.1,57,53%,2006,24440100,15000000,21000147,896220,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,95.0,21896367,145.98%
Hoot,USA,05 May 2006,Walden Media,5.5,46,26%,2006,40190100,15000000,8117637,107361,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0.0,91.0,8224998,54.83%
When a Stranger Calls,USA,03 Feb 2006,"Screen Gems, Davis Entertainment",5.1,27,9%,2006,11590100,15000000,47860214,19355221,PG-13,Contemporary Fiction,Remake,Live Action,Horror,0.0,,67215435,448.10%
Slither,"Canada, USA",31 Mar 2006,"Gold Circle Films, Brightlight Pictures Inc., Strike Entertainment",6.5,69,86%,2006,40870100,15250000,7802450,5127893,R,Science Fiction,Original Screenplay,Live Action,Horror,0.0,96.0,12930343,84.79%
The Texas Chainsaw Massacre: The Beginning,USA,06 Oct 2006,"New Line Cinema, Texas Chainsaw Productions, Platinum Dunes",5.8,30,13%,2006,14200100,16000000,39517763,11000000,R,Historical Fiction,Remake,Live Action,Horror,1.0,,50517763,315.74%
The Illusionist,"USA, Czech Republic",01 Sep 2006,"Stillking Films, Bull&#39;s Eye Entertainment, Michael London Productions, Bob Yari Productions",7.6,68,74%,2006,14070100,16500000,39868642,43923420,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,110.0,83792062,507.83%
The Hills Have Eyes,"USA, France, Romania",10 Mar 2006,Craven-Maddalena Films,6.4,52,52%,2006,13350100,17000000,41778863,28576950,R,Contemporary Fiction,Remake,Live Action,Horror,0.0,,70355813,413.86%
American Dreamz,USA,21 Apr 2006,"NBC Ajans, NBC Universal Television",5.4,45,38%,2006,130880100,17000000,7314027,9196944,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Black Comedy,0.0,107.0,16510971,97.12%
Larry the Cable Guy: Health Inspector,USA,24 Mar 2006,Parallel Pictures,3.3,21,5%,2006,29590100,17000000,15680099,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,,15680099,92.24%
ATL,USA,31 Mar 2006,"Overbrook Entertainment, Sweet Tea Pictures LLC",6.1,63,62%,2006,24260100,17000000,21170563,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,107.0,21170563,124.53%
Running Scared,"Germany, USA",24 Feb 2006,Media 8 Entertainment,7.4,41,41%,2006,42740100,17000000,6855137,2873951,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0.0,,9729088,57.23%
Beerfest,USA,25 Aug 2006,"Broken Lizard Productions, Gerber Pictures",6.3,46,40%,2006,26000100,17500000,19185184,974132,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,110.0,20159316,115.20%
United 93,"USA, UK, France",28 Apr 2006,"Universal Pictures, Working Title Films",7.5,90,90%,2006,18030100,18000000,31567134,46067901,R,Dramatization,Based on Real Life Events,Live Action,Drama,0.0,111.0,77635035,431.31%
Renaissance,"France, Luxembourg, UK",15 Mar 2006,France 2 Cinema,6.7,57,49%,2006,83460100,18000000,70644,2330769,R,Science Fiction,Original Screenplay,Digital Animation,Action,0.0,105.0,2401413,13.34%
The Painted Veil,"China, USA, Canada",19 Jan 2007,Stratus Films,7.5,69,8%,2006,40280100,19400000,8060487,7058308,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,,15118795,77.93%
Doogal,"USA, UK, France",24 Feb 2006,"Weinstein Company, Canal+, Pathé Pictures",2.8,23,85%,2006,41200100,20000000,7578946,20479706,G,Kids Fiction,Based on TV,Digital Animation,Adventure,0.0,83.0,28058652,140.29%
The Proposition,"Australia, UK",09 Jun 2006,"Autonomous, Jackie O Productions, Surefire Films LLC",7.3,73,10%,2006,56400100,20000000,1903434,3410174,R,Historical Fiction,Original Screenplay,Live Action,Drama,0.0,,5313608,26.57%
Stay Alive,USA,24 Mar 2006,"Spyglass Entertainment, Endgame Entertainment, Wonderland Sound and Vision",5.1,24,19%,2006,22790100,20000000,23086480,101026,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Horror,0.0,,23187506,115.94%
One Night with the King,USA,13 Oct 2006,8X Entertainment,6.1,38,26%,2006,32340100,20000000,13395961,329071,PG,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0.0,123.0,13725032,68.63%
School for Scoundrels,USA,29 Sep 2006,"Weinstein Company, Media Talent Group, Dimension Films",5.9,44,7%,2006,27190100,20000000,17807569,0,PG-13,Contemporary Fiction,Remake,Live Action,Comedy,0.0,101.0,17807569,89.04%
Date Movie,"USA, Switzerland",17 Feb 2006,Regency Enterprises,2.8,11,4%,2006,11350100,20000000,48548426,36597739,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,,85146165,425.73%
The Covenant,"USA, Canada",08 Sep 2006,"Screen Gems, Sandstorm Films, Lakeshore Entertainment",5.3,19,31%,2006,22630100,20000000,23364784,14800000,PG-13,Contemporary Fiction,Based on Comic/Graphic Novel,Live Action,Thriller/Suspense,0.0,97.0,38164784,190.82%
Stick It,"Germany, USA",28 Apr 2006,"Spyglass Entertainment, Walt Disney Pictures",6.4,53,21%,2006,20280100,20000000,26910736,3488978,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,,30399714,152.00%
Man of the Year,USA,13 Oct 2006,"Universal Pictures, Morgan Creek Productions",6.2,39,68%,2006,15130100,20000000,37442180,3900000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0.0,,41342180,206.71%
A Scanner Darkly,USA,28 Jul 2006,"Thousand Words, Warner Independent Pictures, Section Eight Ltd.",7.1,73,69%,2006,45610100,20000000,5501616,1903468,R,Science Fiction,Based on Fiction Book/Short Story,Rotoscoping,Thriller/Suspense,0.0,100.0,7405084,37.03%
